,Gross domestic product 2020,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States," 20,936,600 ",
CHN,2,,China," 14,722,731 ",
JPN,3,,Japan," 5,064,873 ",
DEU,4,,Germany," 3,806,060 ",
GBR,5,,United Kingdom," 2,707,744 ",
IND,6,,India," 2,622,984 ",
FRA,7,,France," 2,603,004 ",
ITA,8,,Italy," 1,886,445 ",
CAN,9,,Canada," 1,643,408 ",
KOR,10,,"Korea, Rep."," 1,630,525 ",
RUS,11,,Russian Federation," 1,483,498 ",a
BRA,12,,Brazil," 1,444,733 ",
AUS,13,,Australia," 1,330,901 ",
ESP,14,,Spain," 1,281,199 ",
MEX,15,,Mexico," 1,076,163 ",
IDN,16,,Indonesia," 1,058,424 ",
NLD,17,,Netherlands," 912,242 ",
CHE,18,,Switzerland," 747,969 ",
TUR,19,,Turkey," 720,101 ",
SAU,20,,Saudi Arabia," 700,118 ",
POL,21,,Poland," 594,165 ",
SWE,22,,Sweden," 537,610 ",
BEL,23,,Belgium," 515,332 ",
THA,24,,Thailand," 501,795 ",
NGA,25,,Nigeria," 432,294 ",
AUT,26,,Austria," 428,965 ",
ARE,27,,United Arab Emirates," 421,142 ",
IRL,28,,Ireland," 418,622 ",
ISR,29,,Israel," 401,954 ",
ARG,30,,Argentina," 383,067 ",b
EGY,31,,"Egypt, Arab Rep."," 363,069 ",
NOR,32,,Norway," 362,009 ",
PHL,33,,Philippines," 361,489 ",
DNK,34,,Denmark," 355,184 ",
HKG,35,,"Hong Kong SAR, China"," 346,586 ",
SGP,36,,Singapore," 339,998 ",
MYS,37,,Malaysia," 336,664 ",
BGD,38,,Bangladesh," 324,239 ",
ZAF,39,,South Africa," 301,924 ",
COL,40,,Colombia," 271,347 ",
FIN,41,,Finland," 271,234 ",
VNM,42,,Vietnam," 271,158 ",
PAK,43,,Pakistan," 263,687 ",
CHL,44,,Chile," 252,940 ",
ROU,45,,Romania," 248,716 ",
CZE,46,,Czech Republic," 243,530 ",
PRT,47,,Portugal," 231,256 ",
NZL,48,,New Zealand," 212,482 ",
PER,49,,Peru," 202,014 ",
IRN,50,,"Iran, Islamic Rep."," 191,718 ",
GRC,51,,Greece," 189,410 ",
KAZ,52,,Kazakhstan," 169,835 ",
IRQ,53,,Iraq," 167,224 ",
UKR,54,,Ukraine," 155,582 ",a
HUN,55,,Hungary," 155,013 ",
QAT,56,,Qatar," 146,374 ",
DZA,57,,Algeria," 145,164 ",
KWT,58,,Kuwait," 136,197 ",
MAR,59,,Morocco," 112,871 ",c
ETH,60,,Ethiopia," 107,645 ",
SVK,61,,Slovak Republic," 104,574 ",
PRI,62,,Puerto Rico," 103,138 ",
CUB,63,,Cuba," 103,131 ",
KEN,64,,Kenya," 98,843 ",
ECU,65,,Ecuador," 98,808 ",
LKA,66,,Sri Lanka," 80,707 ",
DOM,67,,Dominican Republic," 78,845 ",
GTM,68,,Guatemala," 77,605 ",
OMN,69,,Oman," 76,332 ",
MMR,70,,Myanmar," 76,186 ",
LUX,71,,Luxembourg," 73,264 ",
GHA,72,,Ghana," 72,354 ",
BGR,73,,Bulgaria," 69,105 ",
TZA,74,,Tanzania," 62,410 ",d
AGO,75,,Angola," 62,307 ",
CRI,76,,Costa Rica," 61,521 ",
CIV,77,,Côte d'Ivoire," 61,349 ",
BLR,78,,Belarus," 60,258 ",
UZB,79,,Uzbekistan," 57,707 ",
HRV,80,,Croatia," 55,967 ",
LTU,81,,Lithuania," 55,887 ",
MAC,82,,"Macao SAR, China"," 55,154 ",
URY,83,,Uruguay," 53,629 ",
SRB,84,,Serbia," 52,960 ",
PAN,85,,Panama," 52,938 ",
SVN,86,,Slovenia," 52,880 ",
COD,87,,"Congo, Dem. Rep."," 49,869 ",
TKM,88,,Turkmenistan," 45,231 ",
JOR,89,,Jordan," 43,698 ",
AZE,90,,Azerbaijan," 42,607 ",
CMR,91,,Cameroon," 39,802 ",
TUN,92,,Tunisia," 39,236 ",
BHR,93,,Bahrain," 38,475 ",
UGA,94,,Uganda," 37,372 ",
BOL,95,,Bolivia," 36,689 ",
PRY,96,,Paraguay," 35,304 ",
NPL,97,,Nepal," 33,657 ",
LVA,98,,Latvia," 33,505 ",
LBN,99,,Lebanon," 33,383 ",
EST,100,,Estonia," 31,030 ",
SDN,101,,Sudan," 26,111 ",
LBY,102,,Libya," 25,418 ",
KHM,103,,Cambodia," 25,291 ",
SEN,104,,Senegal," 24,911 ",
SLV,105,,El Salvador," 24,639 ",
HND,106,,Honduras," 23,828 ",
CYP,107,,Cyprus," 23,804 ",e
PNG,108,,Papua New Guinea," 23,592 ",
YEM,109,,"Yemen, Rep."," 23,486 ",
ISL,110,,Iceland," 21,715 ",
TTO,111,,Trinidad and Tobago," 21,530 ",
AFG,112,,Afghanistan," 19,807 ",
BIH,113,,Bosnia and Herzegovina," 19,788 ",
ZMB,114,,Zambia," 19,320 ",
LAO,115,,Lao PDR," 19,136 ",
MLI,116,,Mali," 17,394 ",
BFA,117,,Burkina Faso," 17,369 ",
ZWE,118,,Zimbabwe," 16,769 ",
GEO,119,,Georgia," 15,892 ",f
BWA,120,,Botswana," 15,782 ",
GIN,121,,Guinea," 15,681 ",
BEN,122,,Benin," 15,652 ",
GAB,123,,Gabon," 15,593 ",
PSE,124,,West Bank and Gaza," 15,561 ",
ALB,125,,Albania," 14,800 ",
MLT,126,,Malta," 14,647 ",
MOZ,127,,Mozambique," 14,021 ",
JAM,128,,Jamaica," 13,812 ",
MDG,129,,Madagascar," 13,721 ",
NER,130,,Niger," 13,678 ",
HTI,131,,Haiti," 13,418 ",
MNG,132,,Mongolia," 13,137 ",
