user_id,age,house_type,resident,job,house_type2,식료품(1),생필품(2),의류(3),잡화(4),기타(5),1.현금,2.직불카드,3.신용카드,4.상품권
1001,35,4,전북,6,1,153000,0,0,0,0,1,0,0,0
1002,45,4,경남,2,1,0,120000,0,0,0,0,1,0,0
1003,55,4,경기,6,1,125000,0,780000,123000,79000,0,0,4,0
1004,43,3,대전,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,55,4,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,45,1,대구,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,39,4,경남,1,1,0,150000,78879,81980,71773,0,4,0,0
1008,55,2,경기,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,33,4,인천,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,55,3,서울,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,66,4,서울,2,1,0,71774,0,0,0,1,0,0,0
1012,55,4,서울,6,1,0,0,74968,0,0,0,1,0,0
1013,62,4,부산,6,1,0,0,0,81841,0,1,0,0,0
1014,35,4,경기,6,1,0,0,0,94782,83804,0,2,0,0
1015,48,4,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,55,2,대구,5,0,5813,6459,0,0,0,2,0,0,0
1017,60,2,서울,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,60,1,충북,1,0,0,171136,236924,4275,83410,0,0,7,0
1019,50,4,대구,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1020,50,4,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,50,4,부산,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,50,4,경남,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,50,2,경북,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024,60,1,전북,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,60,2,서울,6,0,67067,68996,86768,88246,70757,5,0,0,0
1026,60,4,인천,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,60,4,경기,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,59,4,서울,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,59,1,충북,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,59,4,경남,2,1,0,78758,0,290,290,0,0,3,0
1031,59,4,서울,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,59,4,부산,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,59,4,부산,2,1,0,0,78758,0,0,1,0,0,0
1034,59,4,경기,2,1,0,0,0,3094,0,1,0,0,0
1035,59,4,서울,2,1,0,0,0,86084,0,1,0,0,0
1036,59,3,경기,1,1,0,0,0,0,72597,1,0,0,0
1037,59,3,울산,5,1,90930,0,0,0,0,1,0,0,0
1038,59,4,충북,6,1,0,82531,8222,8222,0,0,2,1,0
1039,49,4,서울,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
